10 PHYLLIS AVE E,-92.3376492,38.97289878,CO
10 PORT WAY ,-92.25061309,38.9508876,CO
10 RANGELINE RD S,-92.20220544,38.94842787,CO
10 RIDGELEY RD E,-92.33846884,38.93961676,CO
10 SANDKER LN E,-92.34146705,39.00462759,CO
10 SECOND ST N,-92.30886392,38.69535663,HB
10 SEVENTH ST S,-92.32955185,38.95120647,CO
10 SOUTHAMPTON DR E,-92.34019295,38.89958415,CO
10 SOUTHBROOK CT E,-92.34488774,38.88647135,CO
10 SPRING VALLEY RD ,-92.35792405,38.95183702,CO
10 SPRINGER DR ,-92.28699143,38.90740352,CO
10 SWITZLER ST ,-92.33808467,38.95647075,CO
10 THIRD AVE ,-92.33778609,38.9620234,CO
10 WEST BLVD S,-92.35268559,38.95129634,CO
10 WESTRIDGE DR ,-92.36002728,38.95208308,CO
10 WESTWOOD AVE ,-92.34539265,38.95059118,CO
10 WORLEY ST E,-92.33792566,38.95775485,CO
10 YORKSHIRE DR ,-92.38776388,38.95446964,CO
100 ADAMS ST ,-92.14773579,39.21167235,CE
100 ALDEAH AVE ,-92.34345666,38.95301836,CO
100 ALHAMBRA DR E,-92.3385566,38.9129869,CO
100 AMANDA DR ,-92.26200543,38.76609508,AS
100 AMAZON DR ,-92.33522817,38.98664514,CO
100 ANTELOPE DR ,-92.33581978,38.98536281,CO
100 ARBOR DR ,-92.28373827,38.95119966,CO
100 AUSTIN AVE ,-92.33623718,38.96376874,CO
100 BINGHAM RD ,-92.3375718,38.94059045,CO
100 BOGIE HILLS DR ,-92.2596737,38.9508384,CO
100 BOURN AVE ,-92.37206366,38.95304361,CO
100 BRANDON RD W,-92.33924935,38.93838615,CO
100 BRICKTON RD ,-92.29487615,38.94792849,CO
100 BRIGHT STAR DR ,-92.40015018,38.95523342,CO
100 BROADVIEW CT N,-92.2236309,38.94931834,CO
100 BROADWAY  E,-92.26190738,38.77453729,AS
100 BROADWAY  W,-92.33983295,38.95108783,CO
100 BUSINESS LOOP 70  E,-92.33599293,38.96458676,CO
100 BUSINESS LOOP 70  W,-92.33890777,38.96490464,CO
100 CALVIN DR W,-92.35049499,38.7648818,HB
100 CEDAR TREE LN E,-92.34944519,38.72648565,HB
100 CENTER ST N,-92.31015619,38.69650207,HB
100 COPPER MOUNTAIN DR ,-92.33533499,39.00800758,CO
100 CORPORATE LAKE DR ,-92.33872724,38.89552838,CO
100 CORPORATE PLAZA DR ,-92.33707293,38.89829327,CO
100 DAYSPRING DR ,-92.40189697,38.95562657,CO
